FID,COUNTRY,ISO_CODE,ISO_CC,ISO_SUB,NUTS_ID,CNTR_CODE,EFAS_name,ID
1353, , , , ,BG425,BG,Kardzhali,1353
331,Croatia,HR04,HR,4, , ,Karlovacka zupanija,541
1377, , , , ,CZ041,CZ,Karlovarsky kraj,1384
852, , , , ,DE12,DE,Karlsruhe,1157
834, , , , ,AT21,AT,Karnten,1138
575,Turkey,TR36,TR,36, , ,Kars,542
868, , , , ,DE73,DE,Kassel,1173
576,Tunisia,TN42,TN,42, , ,Kasserine,543
577,Turkey,TR37,TR,37, , ,Kastamonu,544
1294, , , , ,TR82,TR,Kastamonu,1279
1577, , , , ,LT002,LT,Kauno apskritis,1586
1292, , , , ,TR72,TR,Kayseri,1277
578,Tunisia,TN73,TN,73, , ,Kebili,545
1314, , , , ,UKJ4,UK,Kent,1314
579,Greece,GRII,GR,II, , ,Kentriki Makedonia,546
580,Greece,GRII,GR,II, , ,Kentriki Makedonia,547
581,Greece,GRII,GR,II, , ,Kentriki Makedonia,548
890, , , , ,EL12,EL,Kentriki Makedonia,1195
582,Iran,IR17,IR,17, , ,Kermanshah,549
1400, , , , ,EE006,EE,Kesk-Eesti,1407
1468, , , , ,FI1D5,FI,Keski-Pohjanmaa,1477
1453, , , , ,FI193,FI,Keski-Suomi,1462
583,Russian Federation,RUKHM,RU,KHM, , ,Khanty-Mansiyskiy avtonomnyy okrug,550
584,Russian Federation,RUKHM,RU,KHM, , ,Khanty-Mansiyskiy avtonomnyy okrug,551
585,Russian Federation,RUKHM,RU,KHM, , ,Khanty-Mansiyskiy avtonomnyy okrug,552
586,Ukraine,UA63,UA,63, , ,Kharkivska Oblast,553
587,Algeria,DZ40,DZ,40, , ,Khenchela,554
588,Ukraine,UA65,UA,65, , ,Khersonska Oblast,555
589,Ukraine,UA65,UA,65, , ,Khersonska Oblast,556
590,Ukraine,UA65,UA,65, , ,Khersonska Oblast,557
591,Ukraine,UA68,UA,68, , ,Khmelnytska Oblast,558
592,Turkey,TR79,TR,79, , ,Kilis,559
1280, , , , ,CY00,CY,Kipros / Kibris,1155
1401, , , , ,EE007,EE,Kirde-Eesti,1408
1291, , , , ,TR71,TR,Kirikkale,1276
593,Turkey,TR39,TR,39, , ,Kirklareli,560
594,Ukraine,UA35,UA,35, , ,Kirovohradska Oblast,561
595,Russian Federation,RUKIR,RU,KIR, , ,Kirovskaya oblast,562
332,Lithuania,LTKL,LT,KL, , ,Klaipedos Apskritis,563
333,Lithuania,LTKL,LT,KL, , ,Klaipedos Apskritis,564
596,Lithuania,LTKL,LT,KL, , ,Klaipedos Apskritis,565
1578, , , , ,LT003,LT,Klaipedos apskritis,1587
1388, , , , ,DK012,DK,Kobenhavns omegn,1395
879, , , , ,DEB1,DE,Koblenz,1184
597,Turkey,TR41,TR,41, , ,Kocaeli,566
598,Turkey,TR41,TR,41, , ,Kocaeli,567
1285, , , , ,TR42,TR,Kocaeli,1270
599,Slovenia,SI048,SI,48, , ,Kocevje,568
875, , , , ,DEA2,DE,Koln,1180
600,Serbia,RS09,RS,9, , ,Kolubara,569
601,Turkey,TR42,TR,42, , ,Konya,570
1287, , , , ,TR52,TR,Konya,1272
602,Slovenia,SI050,SI,50, , ,Koper,571
334,Croatia,HR06,HR,6, , ,Koprivnicko-krizevacka zupanija,572
335,Albania,AL6,AL,6, , ,Kor�e,573
603,Iran,IR16,IR,16, , ,Kordestan,574
1698, , , , ,SI013,SI,Koroska,1721
336,Slovakia,SKKI,SK,KI, , ,Kosicky kraj,575
1715, , , , ,SK042,SK,Kosicky kraj,1738
604,Serbia,RSKM,RS,KM, , ,Kosovo-Metohija,576
605,Slovenia, ,SI, , , ,Kostanjevica na Krki,577
606,Slovenia,SI165,SI,165, , ,Kostel,578
607,Russian Federation,RUKOS,RU,KOS, , ,Kostromskaya oblast,579
608,Armenia,AMKT,AM,KT, , ,Kotayk,580
60,Morocco,MA10,MA,10, , ,Koukhala-Abda,54
61,Morocco,MA10,MA,10, , ,Koukhala-Abda,55
903, , , , ,HU21,HU,Kozep-Dunantul,1208
902, , , , ,HU10,HU,Kozep-Magyarorszag,1207
1380, , , , ,CZ052,CZ,Kralovehradecky kraj,1387
337,Croatia,HR02,HR,2, , ,Krapinsko-zagorska zupanija,581
609,Latvia,LVKR,LV,KR, , ,Kraslavas Aprinkis,582
610,Russian Federation,RUKDA,RU,KDA, , ,Krasnodyarskiy kray,583
